Year,Value,Label,Indicator,Country
1816,12.992385714285714,Temperature (°C),Temperature,China
1817,11.812654761904762,Temperature (°C),Temperature,China
1818,12.491821428571429,Temperature (°C),Temperature,China
1819,11.834654761904762,Temperature (°C),Temperature,China
1820,6.859127009222662,Temperature (°C),Temperature,China
1821,8.05177657004831,Temperature (°C),Temperature,China
1822,8.080177536231883,Temperature (°C),Temperature,China
1823,7.822479358805446,Temperature (°C),Temperature,China
1824,6.148061827956989,Temperature (°C),Temperature,China
1825,5.908786738351254,Temperature (°C),Temperature,China
1826,5.825,Temperature (°C),Temperature,China
1827,6.290916666666667,Temperature (°C),Temperature,China
1828,5.6475336879432625,Temperature (°C),Temperature,China
1829,5.642340053763441,Temperature (°C),Temperature,China
1830,5.206243993993994,Temperature (°C),Temperature,China
1831,3.883411504424779,Temperature (°C),Temperature,China
1832,4.297962309429701,Temperature (°C),Temperature,China
1833,6.609848785871965,Temperature (°C),Temperature,China
1834,6.955404525386314,Temperature (°C),Temperature,China
1835,6.109004415011038,Temperature (°C),Temperature,China
1836,6.459895946217139,Temperature (°C),Temperature,China
1837,7.360113484528833,Temperature (°C),Temperature,China
1838,7.333429904761905,Temperature (°C),Temperature,China
1839,4.925748175182481,Temperature (°C),Temperature,China
1840,11.162018812833972,Temperature (°C),Temperature,China
1841,11.58778167115903,Temperature (°C),Temperature,China
1842,12.230605720275532,Temperature (°C),Temperature,China
1843,12.390596061695117,Temperature (°C),Temperature,China
1844,12.158321241389638,Temperature (°C),Temperature,China
1845,12.12906914495358,Temperature (°C),Temperature,China
1846,12.679237458820007,Temperature (°C),Temperature,China
1847,12.425580787660977,Temperature (°C),Temperature,China
1848,12.092543837975441,Temperature (°C),Temperature,China
1849,12.276087675950885,Temperature (°C),Temperature,China
1850,11.974234952063705,Temperature (°C),Temperature,China
1851,11.824581271670176,Temperature (°C),Temperature,China
1852,11.924976789457922,Temperature (°C),Temperature,China
1853,12.226066599281223,Temperature (°C),Temperature,China
1854,12.6073423180593,Temperature (°C),Temperature,China
1855,12.572816895368783,Temperature (°C),Temperature,China
1856,12.11405274782869,Temperature (°C),Temperature,China
1857,12.245837265512264,Temperature (°C),Temperature,China
1858,12.392435796645703,Temperature (°C),Temperature,China
1859,12.483647985923929,Temperature (°C),Temperature,China
1860,11.73307966457023,Temperature (°C),Temperature,China
1861,11.901278825995808,Temperature (°C),Temperature,China
1862,11.456772905405405,Temperature (°C),Temperature,China
1863,12.359710953878409,Temperature (°C),Temperature,China
1864,11.874325509134472,Temperature (°C),Temperature,China
1865,12.366741062920308,Temperature (°C),Temperature,China
1866,12.409662773285415,Temperature (°C),Temperature,China
1867,12.555603603828734,Temperature (°C),Temperature,China
1868,12.620649857741839,Temperature (°C),Temperature,China
1869,12.75101256364181,Temperature (°C),Temperature,China
1870,12.421887054507337,Temperature (°C),Temperature,China
1871,12.55345552560647,Temperature (°C),Temperature,China
1872,12.501963462114407,Temperature (°C),Temperature,China
1873,12.4706841868823,Temperature (°C),Temperature,China
